C¢digo,Nivel,T°tulo,ComitÇ,Sector Productivo
EC0810,2,Realizaci¢n de soporte tÇcnico para la operaci¢n de Tecnolog°as de Informaci¢n y Comunicaci¢n en las organizaciones,"C†mara MÇxico-Alemana de Comercio e Industria, A.C.",INFORMACI‡N EN MEDIOS MASIVOS
EC0811,3,Trabajo en Equipos Multiculturales,ManpowerGroup,"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0813.01,2,Conducci¢n de autob£s de pasaje y turismo,Autotransporteˇ Federal de Pasaje y Turismo,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0814,2,Conducci¢n de transporte de carga ligera,Movilidad y Transportes del Estado de Puebla,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0815,2,Prestaci¢n del servicio de transporte escolar/personal,Movilidad y Transportes del Estado de Puebla,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0816,2,Conducci¢n de pr†ctica de yoga: nivel preparador avanzado,Masajes y Servicios de SPA,SERVICIOS EDUCATIVOS
EC0817,4,"Coordinaci¢n de la operaci¢n de las acciones de sanidad e inocuidad agroalimentaria, acu°cola y pesquera","Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0818,3,"Facilitaci¢n de procesos de innovaci¢n de mejora competitiva con personas, grupos sociales y organizaciones econ¢micas","Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0819,3,Inspecci¢n sanitaria de productos/materiales agroalimentarios movilizados,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0820,2,Monitoreo de la actividad pesquera ribere§a,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0821,2,"Operaci¢n de las acciones tÇcnicas de sanidad e inocuidad agroalimentaria, acu°cola y pesquera","Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0822,4,Coordinaci¢n de la ejecuci¢n de la obra p£blica,C†mara Mexicana de la Industria de la Construcci¢n,CONSTRUCCI‡N
EC0823,4,Gesti¢n de la residencia de obra p£blica,C†mara Mexicana de la Industria de la Construcci¢n,CONSTRUCCI‡N
EC0824,2,Instalaci¢n de puertas y ventanas de aluminio,C†mara Mexicana de la Industria de la Construcci¢n,CONSTRUCCI‡N
EC0825,3,Supervisi¢n de la ejecuci¢n de los trabajos de obra p£blica,C†mara Mexicana de la Industria de la Construcci¢n,CONSTRUCCI‡N
EC0826,3,Aplicaci¢n de soldadura a metales especiales,Colegios de Estudios Cient°ficos y Tecnol¢gicos,INDUSTRIAS MANUFACTURERAS
EC0827,3,Aplicaci¢n del proceso MAG/MIG GMAW para trazado y suelda de placa y tuber°a de acero al carbono,Colegios de Estudios Cient°ficos y Tecnol¢gicos,INDUSTRIAS MANUFACTURERAS
