554,CFOR0162.02,Prevención, detección y combate de incendios forestales
555,CFOR0163.01,Dirección operativa y ejecución de actividades de prevención, detección y combate de incendios forestales
556,CFOR0239.01,Aplicación de tratamientos silvícolas
557,CFOR0240.01,Organización y dirección del aprovechamiento forestal
558,CFOR0241.01,Documentación de materias primas forestales
559,CFRM0012.02,Producción de formas farmacéuticas sólidas
560,CFRM0036.01,Producción de formas farmacéuticas semisólidas
561,CFRM0037.01,Producción de líquidos estériles
562,CFRM0038.01,Producción de líquidos no estériles
563,CFRM0039.01,Producción de líquidos utilizando el sistema de formado, llenado y sellado (FLS)
564,CFRM0062.01,Acondicionamiento de producto terminado
565,CFRM0063.01,Manufactura de dispositivos médicos
566,CFRM0090.01,Promoción y ventas de productos farmacéuticos
567,CFRM0117.01,Almacenaje y distribución de materiales y producto terminado
568,CFRM0180.01,Planeación y asesoría de ventas de productos farmacéuticos
569,CFRM0181.01,Desarrollo gerencial en ventas de productos farmacéuticos
570,CFRM0249.01,Control de calidad de insumos, productos y servicios en la industria farmacéutica
571,CFRM0250.01,Muestreo y auditoría a procesos para garantizar la calidad en manufactura, acondicionado y servicios críticos en la industria
572,CFRM0251.01,Elaboración de documentación y seguimiento a sistemas de soporte de aseguramiento de calidad en la industria farmacéutica
573,CFRM0281.01,Supervisión de ventas
574,CGAS0654.01,Suministro de gas LP al menudeo
575,CGAS0655.01,Trasiego de gas LP en planta de distribución
576,CGRA0389.01,Producción de granos y oleaginosas
577,CGRA0520.02,Almacenamiento y conservación de granos
578,CHAR0464.01,Determinación de la calidad de harina
579,CHAR0518.01,Obtención de harina de trigo
580,CHOR0255.01,Poda de plantas
581,CHOR0256.01,Mejoramiento de plantas
582,CHOR0257.01,Establecimiento y manejo de plantaciones hortofrutícolas
583,CHOR0309.01,Acondicionamiento del mango
584,CHOR0310.01,Empaque y embarque de mango
585,CHUL0126.02,Extrusión de productos de hule
586,CHUL0127.02,Vulcanización de productos de hule
587,CHUL0128.02,Mezcla de compuestos de hule
588,CHUL0129.02,Construcción de productos de hule
589,CHUL0188.01,Control de procedimientos para la elaboración de productos de hule
590,CHUL0292.01,Calandreo de productos de hule
591,CHUL0293.01,Molienda de productos de hule
592,CHUL0294.01,Preparación de materias primas para la elaboración de productos de hule
593,CHUL0372.01,Apoyos a procesos de manufactura
594,CICA0119.01,Obtención de conservas alimenticias comercialmente estériles
595,CICA0120.01,Embalaje de conservas alimenticias
596,CICA0247.01,Preparación de mezclas para la obtención de conservas alimenticias
597,CICA0258.01,Envasado de conservas alimenticias
598,CICA0299.01,Operación de generadores de vapor
599,CICA0445.01,Surtimiento de órdenes de embarque
600,CINF0276.01,Elaboración de documentos mediante herramientas de cómputo
601,CINF0283.01,Análisis y diseño de centro de datos
602,CINF0284.01,Análisis y diseño de arquitectura cliente/servidor
603,CINF0285.01,Análisis y diseño de sistemas de información
604,CINF0286.01,Análisis y diseño de redes de datos
605,CINF0376.01,Elaboración de documentos y comunicación mediante el empleo de lascaracterísticas avanzadas de aplicaciones de cómputo
606,CINF0650.01,Instalación y soporte técnico de redes de datos (LAN)
607,CINF0669.01,Programación, desarrollo y diseño (arquitectura) de soluciones en JAVA
608,CIVH0266.01,Inspección vehicular
609,CJOY0399.01,Fundido de metales preciosos
610,CJOY0442.01,Laminado y trefilado de metales en joyería
611,CJOY0511.02,Preparación de ceras
612,CJOY0512.02,Vaciado de metales en joyería
613,CJOY0642.01,Troquelado de piezas en joyería
614,CLCH0245.01,Ordeña mecanizada
615,CLCH0282.01,Inseminación artificial de bovinos
616,CLCH0370.01,Distribución de productos en redes locales
617,CLCH0375.02,Elaboración de productos lácteos
618,CLCH0426.01,Transportación de la leche
619,CMAU0289.02,Reparación del sistema de frenos básicos
620,CMAU0331.02,Afinación de motores a gasolina con sistema de inyección
621,CMAU0332.02,Afinación de motores a gasolina con carburador
622,CMAU0335.01,Reparación de motores a gasolina
623,CMAU0344.01,Reparación del sistema de suspensión con alineación y balanceo
624,CMAU0345.01,Reparación del sistema de dirección
625,CMAU0346.01,Servicio de lubricación de los sistemas del vehículo automotriz
626,CMAU0347.01,Reparación del sistema de embrague
627,CMAU0348.01,Reparación del sistema de control de emisión de gases contaminantes
628,CMAU0360.01,Reparación del sistema de transmisión manual
629,CMAU0361.01,Reparación del sistema de transmisión automática
630,CMAU0431.01,Reparación de los componentes plásticos de la carrocería
631,CMAU0432.01,Reparación del motor a diesel de los vehículos de rango medio y servicio pesado
632,CMAU0433.01,Reparación del eje trasero de los vehículos de rango medio y servicio pesado
633,CMAU0434.01,Reparación del sistema de inyección de los vehículos de rango medio y servicio pesado
634,CMAU0435.01,Reparación del sistema de embrague de los vehículos de rango medio y servicio pesado
635,CMAU0436.01,Reparación del sistema de frenos de aire de los vehículos de rango medio y servicio pesado
636,CMAU0462.01,Reparación del sistema de frenos ABS
637,CMAU0488.02,Repintado de los componentes metálicos y plásticos de la carrocería de vehículo automotriz utilizando equipo programable
638,CMAU0489.01,Repintado de los componentes metálicos, plásticos y de madera de la carrocería de vehículo automotriz
639,CMAU0520.02,Igualado de color en el repintado automotor
640,CMAU0521.01,Reparación de los componentes metálicos exteriores de la carrocería
641,CMEC0043.01,Preparación del mantenimiento a sistemas electromecánicos
642,CMEC0113.01,Mantenimiento a sistemas para la transmisión de potencia mecánica
